bio_id,name,chamber,party,twitter_accounts_json,birthday,gender
G000565,Paul Gosar,house,R,"[{""id"": ""240760644"", ""screen_name"": ""RepGosar"", ""account_type"": ""office""}, {""account_type"": ""campaign"", ""screen_name"": ""DrPaulGosar"", ""id"": ""872148729184362497""}]",1958-11-22,M
G000551,Raul Grijalva,house,D,"[{""id"": ""28602948"", ""screen_name"": ""RepRaulGrijalva"", ""account_type"": ""office""}, {""id"": ""135623073"", ""screen_name"": ""standwithraul"", ""account_type"": ""campaign""}]",1948-02-19,M
G000574,Ruben Gallego,house,D,"[{""id"": ""49217025"", ""screen_name"": ""RubenGallego"", ""account_type"": ""campaign""}, {""id"": ""2966570782"", ""screen_name"": ""RepRubenGallego"", ""account_type"": ""office""}]",1979-11-20,M
O000171,Tom O'Halleran,house,D,"[{""id"": ""2573587962"", ""screen_name"": ""TomOHalleran"", ""account_type"": ""campaign""}, {""id"": ""808416682972770304"", ""screen_name"": ""RepOHalleran"", ""account_type"": ""office""}]",1946-01-24,M
F000448,Trent Franks,house,R,"[{""id"": ""24773493"", ""screen_name"": ""RepTrentFranks"", ""account_type"": ""office""}]",1957-06-19,M
S001150,Adam Schiff,house,D,"[{""id"": ""29501253"", ""screen_name"": ""RepAdamSchiff"", ""account_type"": ""office""}, {""id"": ""133028836"", ""screen_name"": ""AdamSchiff"", ""account_type"": ""campaign"", ""prev_names"": [""AdamSchiffCA""]}]",1960-06-22,M
L000579,Alan Lowenthal,house,D,"[{""id"": ""562232053"", ""screen_name"": ""alanlowenthal"", ""account_type"": ""campaign""}, {""id"": ""1055730738"", ""screen_name"": ""RepLowenthal"", ""account_type"": ""office""}]",1941-03-08,M
B001287,Ami Bera,house,D,"[{""id"": ""43986986"", ""screen_name"": ""BeraForCongress"", ""account_type"": ""campaign""}, {""id"": ""950783972"", ""screen_name"": ""RepBera"", ""account_type"": ""office""}]",1965-03-02,M
E000215,Anna Eshoo,house,D,"[{""id"": ""249348006"", ""screen_name"": ""RepAnnaEshoo"", ""account_type"": ""office""}, {""id"": ""482713734"", ""screen_name"": ""Eshoo4Congress"", ""account_type"": ""campaign""}]",1942-12-13,F
L000551,Barbara Lee,house,D,"[{""id"": ""144927376"", ""screen_name"": ""BarbaraLeeSays"", ""account_type"": ""campaign""}, {""id"": ""248735463"", ""screen_name"": ""RepBarbaraLee"", ""account_type"": ""office""}, {""id"": ""414436134"", ""screen_name"": ""BLeeForCongress"", ""account_type"": ""campaign""}]",1946-07-16,F
S000344,Brad Sherman,house,D,"[{""id"": ""30216513"", ""screen_name"": ""BradSherman"", ""account_type"": ""office""}, {""id"": ""494291143"", ""screen_name"": ""BradSherman4SFV"", ""account_type"": ""campaign""}]",1954-10-24,M
R000409,Dana Rohrabacher,house,R,"[{""id"": ""19139963"", ""screen_name"": ""DanaRohrabacher"", ""account_type"": ""campaign""}, {""id"": ""831483464"", ""screen_name"": ""RepRohrabacher"", ""account_type"": ""office""}]",1947-06-21,M
I000056,Darrell Issa,house,R,"[{""id"": ""22509548"", ""screen_name"": ""DarrellIssa"", ""account_type"": ""office""}, {""id"": ""63650107"", ""screen_name"": ""repdarrellissa"", ""account_type"": ""campaign"", ""prev_names"": [{""I000056"": ""TeamIssa""}]}]",1953-11-01,M
V000129,David Valadao,house,R,"[{""id"": ""36676406"", ""screen_name"": ""dgvaladao"", ""account_type"": ""campaign""}, {""id"": ""1128514404"", ""screen_name"": ""RepDavidValadao"", ""account_type"": ""office""}]",1977-04-14,M
N000181,Devin Nunes,house,R,"[{""id"": ""54412900"", ""screen_name"": ""DevinNunes"", ""account_type"": ""office""}, {""id"": ""344972339"", ""screen_name"": ""RepDevinNunes"", ""account_type"": ""office"", ""prev_names"": [""Rep_DevinNunes""]}, {""id"": ""2851579030"", ""screen_name"": ""DevinGNunes"", ""account_type"": ""campaign""}]",1973-10-01,M
M001163,Doris Matsui,house,D,"[{""id"": ""38254095"", ""screen_name"": ""DorisMatsui"", ""account_type"": ""office""}, {""id"": ""169331127"", ""screen_name"": ""Matsui4Congress"", ""account_type"": ""campaign""}]",1944-09-25,F
L000578,Doug LaMalfa,house,R,"[{""id"": ""19808819"", ""screen_name"": ""DougLaMalfa"", ""account_type"": ""campaign""}, {""id"": ""1069124515"", ""screen_name"": ""RepLaMalfa"", ""account_type"": ""office""}]",1960-07-02,M
H001048,Duncan Hunter,house,R,"[{""id"": ""1305596696"", ""screen_name"": ""Rep_Hunter"", ""account_type"": ""office"", ""deleted"": true}]",1976-12-07,M
R000487,Ed Royce,house,R,"[{""id"": ""182052260"", ""screen_name"": ""EdRRoyce"", ""account_type"": ""campaign""}, {""id"": ""246769138"", ""screen_name"": ""RepEdRoyce"", ""account_type"": ""office""}]",1951-10-12,M
S001193,Eric Swalwell,house,D,"[{""id"": ""377609596"", ""screen_name"": ""ericswalwell"", ""account_type"": ""campaign""}, {""id"": ""942156122"", ""screen_name"": ""RepSwalwell"", ""account_type"": ""office""}]",1980-11-16,M
C001123,Gil Cisneros,house,D,"[{""account_type"": ""office"", ""screen_name"": ""RepGilCisneros"", ""id"": ""1080986167003230208""}, {""account_type"": ""campaign"", ""screen_name"": ""GilCisnerosCA"", ""id"": ""876894308309147650"", ""prev_names"": [""GilCisneros""]}]",1971-02-12,M
N000179,Grace Napolitano,house,D,"[{""id"": ""161411080"", ""screen_name"": ""gracenapolitano"", ""account_type"": ""office""}, {""id"": ""4895651115"", ""screen_name"": ""grace4congress"", ""account_type"": ""campaign""}]",1936-12-04,F
R000616,Harley Rouda,house,D,"[{""account_type"": ""campaign"", ""screen_name"": ""HarleyRouda"", ""id"": ""27789237""}, {""account_type"": ""office"", ""screen_name"": ""RepHarley"", ""id"": ""1075080722241736704""}]",1961-12-10,M
S001175,Jackie Speier,house,D,"[{""id"": ""24913074"", ""screen_name"": ""RepSpeier"", ""account_type"": ""office""}, {""id"": ""521731529"", ""screen_name"": ""JackieSpeier"", ""account_type"": ""campaign""}]",1950-05-14,F
H001068,Jared Huffman,house,D,"[{""id"": ""334894942"", ""screen_name"": ""JaredHuffman"", ""account_type"": ""campaign""}, {""id"": ""1071102246"", ""screen_name"": ""RepHuffman"", ""account_type"": ""office""}]",1964-02-18,M
O000019,Jay Obernolte,house,R,"[{""screen_name"": ""JayObernolte"", ""id"": ""272482466"", ""account_type"": ""office""}, {""id"": ""1291597452357771264"", ""screen_name"": ""TeamObernolte"", ""account_type"": ""campaign""}]",1970-08-18,M
D000612,Jeff Denham,house,R,"[{""id"": ""21346398"", ""screen_name"": ""JeffDenham"", ""account_type"": ""campaign""}, {""id"": ""248699486"", ""screen_name"": ""RepJeffDenham"", ""account_type"": ""office""}]",1967-07-29,M
M001166,Jerry McNerney,house,D,"[{""id"": ""176512266"", ""screen_name"": ""jerrymcnerney"", ""account_type"": ""campaign""}, {""id"": ""385429543"", ""screen_name"": ""RepMcNerney"", ""account_type"": ""office""}]",1951-06-18,M
C001059,Jim Costa,house,D,"[{""id"": ""245451804"", ""screen_name"": ""RepJimCosta"", ""account_type"": ""office""}]",1952-04-13,M
G000585,Jimmy Gomez,house,D,"[{""id"": ""398193180"", ""screen_name"": ""JimmyGomezCA"", ""account_type"": ""campaign""}, {""id"": ""2371339658"", ""screen_name"": ""RepJimmyGomez"", ""account_type"": ""office""}]",1974-11-25,M
P000613,Jimmy Panetta,house,D,"[{""id"": ""4228409359"", ""screen_name"": ""JimmyPanetta"", ""account_type"": ""campaign""}, {""id"": ""796736612554117120"", ""screen_name"": ""RepJimmyPanetta"", ""account_type"": ""office""}]",1969-10-01,M
G000559,John Garamendi,house,D,"[{""id"": ""18907463"", ""screen_name"": ""JohnGaramendi"", ""account_type"": ""campaign""}, {""id"": ""88806753"", ""screen_name"": ""RepGaramendi"", ""account_type"": ""office""}]",1945-01-24,M
H001090,Josh Harder,house,D,"[{""account_type"": ""campaign"", ""screen_name"": ""JoshHarder"", ""id"": ""438665212"", ""prev_names"": [""joshua_harder""]}, {""account_type"": ""office"", ""screen_name"": ""RepJoshHarder"", ""id"": ""1080851152151953410""}]",1986-08-01,M
V000130,Juan Vargas,house,D,"[{""id"": ""1260172386"", ""screen_name"": ""RepJuanVargas"", ""account_type"": ""office""}, {""account_type"": ""campaign"", ""screen_name"": ""JuanVargas4CA"", ""id"": ""1036705065745010688""}]",1961-03-07,M
C001080,Judy Chu,house,D,"[{""id"": ""193732179"", ""screen_name"": ""RepJudyChu"", ""account_type"": ""office""}, {""id"": ""793208286"", ""screen_name"": ""JudyChuCampaign"", ""account_type"": ""campaign""}]",1953-07-07,F
B001285,Julia Brownley,house,D,"[{""id"": ""44251742"", ""screen_name"": ""JuliaBrownley"", ""account_type"": ""campaign""}, {""id"": ""1243902714"", ""screen_name"": ""RepBrownley"", ""account_type"": ""office"", ""prev_names"": [""JuliaBrownley26""]}]",1952-08-28,F
B001270,Karen Bass,house,D,"[{""id"": ""113494390"", ""screen_name"": ""KarenBassTweets"", ""account_type"": ""campaign""}, {""id"": ""239949176"", ""screen_name"": ""RepKarenBass"", ""account_type"": ""office""}]",1953-10-03,F
H001087,Katie Hill,house,D,"[{""account_type"": ""office"", ""screen_name"": ""RepKatieHill"", ""id"": ""1068273911224094721""}, {""account_type"": ""campaign"", ""screen_name"": ""KatieHill4CA"", ""id"": ""839226269627621376""}]",1987-08-25,F
P000618,Katie Porter,house,D,"[{""account_type"": ""campaign"", ""screen_name"": ""katieporteroc"", ""id"": ""617266600""}, {""account_type"": ""office"", ""screen_name"": ""RepKatiePorter"", ""id"": ""1081222837459996672""}]",1974-01-03,F
C000059,Ken Calvert,house,R,"[{""id"": ""22545491"", ""screen_name"": ""KenCalvert"", ""account_type"": ""office""}, {""id"": ""138553197"", ""screen_name"": ""TeamCalvert"", ""account_type"": ""campaign""}]",1953-06-08,M
M001165,Kevin McCarthy,house,R,"[{""id"": ""15428227"", ""screen_name"": ""kevinomccarthy"", ""account_type"": ""campaign""}, {""id"": ""19739126"", ""screen_name"": ""GOPLeader"", ""account_type"": ""office""}]",1965-01-26,M
S001156,Linda Sanchez,house,D,"[{""id"": ""312134473"", ""screen_name"": ""RepLindaSanchez"", ""account_type"": ""office""}, {""account_type"": ""campaign"", ""screen_name"": ""LindaTSanchez"", ""id"": ""917408119222923264""}]",1969-01-28,F
C001110,Lou Correa,house,D,"[{""id"": ""815985039485837312"", ""screen_name"": ""RepLouCorrea"", ""account_type"": ""office""}, {""id"": ""746481056145018880"", ""screen_name"": ""voteloucorrea"", ""account_type"": ""campaign""}]",1958-01-24,M
R000486,Lucille Roybal-Allard,house,D,"[{""id"": ""479872233"", ""screen_name"": ""RepRoybalAllard"", ""account_type"": ""office""}, {""id"": ""878301212025782272"", ""screen_name"": ""LRAforCongress"", ""account_type"": ""campaign""}]",1941-06-12,F
D000623,Mark DeSaulnier,house,D,"[{""id"": ""30252303"", ""screen_name"": ""MarkDeSaulnier"", ""account_type"": ""campaign""}, {""id"": ""2968007206"", ""screen_name"": ""RepDeSaulnier"", ""account_type"": ""office""}]",1952-03-31,M
T000472,Mark Takano,house,D,"[{""id"": ""316165422"", ""screen_name"": ""MarkTakano"", ""account_type"": ""campaign""}, {""id"": ""1037321378"", ""screen_name"": ""RepMarkTakano"", ""account_type"": ""office""}]",1960-12-10,M
W000187,Maxine Waters,house,D,"[{""id"": ""36686040"", ""screen_name"": ""RepMaxineWaters"", ""account_type"": ""office"", ""prev_names"": [""MaxineWaters""]}, {""id"": ""3166120541"", ""screen_name"": ""MaxineWaters"", ""account_type"": ""campaign"", ""prev_names"": [""MaxineWatersLA""]}]",1938-08-15,F
S001135,Michelle Steel,house,R,"[{""screen_name"": ""RepSteel"", ""id"": ""1343740146630451200"", ""account_type"": ""office""}, {""id"": ""1122934522134315009"", ""screen_name"": ""MichelleSteelCA"", ""account_type"": ""campaign""}]",1955-06-21,F
G000061,Mike Garcia,house,R,"[{""id"": ""1114694580232904704"", ""screen_name"": ""ElectMikeGarcia"", ""account_type"": ""campaign"", ""prev_names"": [""MikeGarcia2020""]}, {""screen_name"": ""repmikegarcia"", ""id"": ""1262531473057423361"", ""account_type"": ""office""}]",1976-04-24,M
L000593,Mike Levin,house,D,"[{""account_type"": ""campaign"", ""screen_name"": ""MikeLevin"", ""id"": ""14573926"", ""prev_names"": [""MikeLevinCA""]}, {""account_type"": ""office"", ""screen_name"": ""RepMikeLevin"", ""id"": ""1072134139560620033""}]",1978-10-28,M
T000460,Mike Thompson,house,D,"[{""id"": ""303861808"", ""screen_name"": ""RepThompson"", ""account_type"": ""office""}, {""id"": ""3612420317"", ""screen_name"": ""Mike_CA05"", ""account_type"": ""campaign""}]",1951-01-24,M
W000820,Mimi Walters,house,R,"[{""id"": ""47798449"", ""screen_name"": ""RepMimiWalters"", ""account_type"": ""office""}, {""id"": ""2327941633"", ""screen_name"": ""MimiWaltersCA"", ""account_type"": ""campaign""}]",1962-05-14,F
P000197,Nancy Pelosi,house,D,"[{""id"": ""15764644"", ""screen_name"": ""SpeakerPelosi"", ""account_type"": ""office"", ""prev_names"": [""NancyPelosi""]}, {""id"": ""2461810448"", ""screen_name"": ""TeamPelosi"", ""account_type"": ""campaign""}]",1940-03-26,F
B001300,Nanette Barragan,house,D,"[{""id"": ""303633791"", ""screen_name"": ""Nanette4CA"", ""account_type"": ""campaign""}, {""id"": ""816833925456789505"", ""screen_name"": ""RepBarragan"", ""account_type"": ""office""}]",1976-09-15,F
T000474,Norma Torres,house,D,"[{""id"": ""236279233"", ""screen_name"": ""NormaJTorres"", ""account_type"": ""office""}, {""id"": ""2409478435"", ""screen_name"": ""Norma4Congress"", ""account_type"": ""campaign""}]",1965-04-04,F
C001094,Paul Cook,house,R,"[{""account_type"": ""campaign"", ""screen_name"": ""joinpaulcook"", ""id"": ""57177310""}, {""id"": ""1074412920"", ""screen_name"": ""ColPaulCookRet"", ""account_type"": ""office"", ""prev_names"": [""RepPaulCook""]}]",1943-03-03,M
A000371,Pete Aguilar,house,D,"[{""id"": ""41533245"", ""screen_name"": ""aguilarpete"", ""account_type"": ""campaign""}, {""id"": ""3018670151"", ""screen_name"": ""RepPeteAguilar"", ""account_type"": ""office""}, {""id"": ""768489333393272832"", ""screen_name"": ""AguilarCampaign"", ""account_type"": ""campaign""}]",1979-06-19,M
R000599,Raul Ruiz,house,D,"[{""id"": ""409522947"", ""screen_name"": ""Dr_RaulRuiz"", ""account_type"": ""campaign""}, {""id"": ""1089859058"", ""screen_name"": ""RepRaulRuizMD"", ""account_type"": ""office"", ""prev_names"": [""CongressmanRuiz""]}]",1972-08-25,M
K000389,Ro Khanna,house,D,"[{""id"": ""771152516"", ""screen_name"": ""RoKhanna"", ""account_type"": ""campaign""}, {""id"": ""816298918468259841"", ""screen_name"": ""RepRoKhanna"", ""account_type"": ""office""}]",1976-09-13,M
C001112,Salud Carbajal,house,D,"[{""id"": ""3237898542"", ""screen_name"": ""carbajalsalud"", ""account_type"": ""campaign""}, {""id"": ""816157667882373120"", ""screen_name"": ""RepCarbajal"", ""account_type"": ""office""}]",1964-11-18,M
J000305,Sara Jacobs,house,D,"[{""id"": ""1656913327"", ""screen_name"": ""SaraJacobsCA"", ""account_type"": ""campaign""}, {""screen_name"": ""RepSaraJacobs"", ""id"": ""1345103905869455361"", ""account_type"": ""office""}]",1989-02-01,F
P000608,Scott Peters,house,D,"[{""id"": ""292594517"", ""screen_name"": ""ScottPetersSD"", ""account_type"": ""campaign""}, {""id"": ""553863817"", ""screen_name"": ""ScottPetersCA52"", ""account_type"": ""campaign""}, {""id"": ""1135486501"", ""screen_name"": ""RepScottPeters"", ""account_type"": ""office""}]",1958-06-17,M
K000387,Steve Knight,house,R,"[{""id"": ""2465187012"", ""screen_name"": ""Knight4Congress"", ""account_type"": ""campaign""}, {""id"": ""2974648323"", ""screen_name"": ""SteveKnight25"", ""account_type"": ""office""}, {""id"": ""1043914380478361600"", ""screen_name"": ""teamknight25"", ""account_type"": ""campaign""}]",1966-12-17,M
D000598,Susan Davis,house,D,"[{""id"": ""432771620"", ""screen_name"": ""RepSusanDavis"", ""account_type"": ""office""}]",1944-04-13,F
C001124,TJ Cox,house,D,"[{""account_type"": ""office"", ""screen_name"": ""RepTjCox"", ""id"": ""1080875913926139910""}, {""account_type"": ""campaign"", ""screen_name"": ""TJCoxCongress"", ""id"": ""882843534750961664""}]",1963-07-18,M
L000582,Ted Lieu,house,D,"[{""id"": ""21059255"", ""screen_name"": ""tedlieu"", ""account_type"": ""campaign""}, {""id"": ""3044993235"", ""screen_name"": ""RepTedLieu"", ""account_type"": ""office""}]",1969-03-29,M
M001177,Tom McClintock,house,R,"[{""id"": ""15773898"", ""screen_name"": ""tommcclintock"", ""account_type"": ""campaign""}, {""id"": ""50152441"", ""screen_name"": ""RepMcClintock"", ""account_type"": ""office""}]",1956-07-10,M
C001097,Tony Cardenas,house,D,"[{""id"": ""1222257180"", ""screen_name"": ""RepCardenas"", ""account_type"": ""office""}, {""id"": ""2543742324"", ""screen_name"": ""Tcardenas"", ""account_type"": ""campaign"", ""prev_names"": [""CardenasforCA""]}]",1963-03-31,M
K000397,Young Kim,house,R,"[{""id"": ""2355919591"", ""screen_name"": ""YoungKimCA"", ""account_type"": ""campaign""}, {""screen_name"": ""RepYoungKim"", ""id"": ""1344677401465397249"", ""account_type"": ""office""}]",1962-10-18,F
L000397,Zoe Lofgren,house,D,"[{""id"": ""267938462"", ""screen_name"": ""RepZoeLofgren"", ""account_type"": ""office""}, {""account_type"": ""campaign"", ""screen_name"": ""ZoeLofgren"", ""id"": ""988858472132415489""}]",1947-12-21,F
D000197,Diana DeGette,house,D,"[{""id"": ""28599820"", ""screen_name"": ""RepDianaDeGette"", ""account_type"": ""office""}, {""id"": ""952540201"", ""screen_name"": ""DeGette5280"", ""account_type"": ""campaign""}]",1957-07-29,F
L000564,Doug Lamborn,house,R,"[{""account_type"": ""campaign"", ""screen_name"": ""DougLambornCD5"", ""id"": ""583881540""}, {""id"": ""584012853"", ""screen_name"": ""RepDLamborn"", ""account_type"": ""office""}]",1954-05-24,M
P000593,Ed Perlmutter,house,D,"[{""id"": ""20552026"", ""screen_name"": ""RepPerlmutter"", ""account_type"": ""office""}, {""id"": ""105290638"", ""screen_name"": ""Ed4Colorado"", ""account_type"": ""campaign""}]",1953-05-01,M
P000598,Jared Polis,house,D,"[{""id"": ""15361570"", ""screen_name"": ""jaredpolis"", ""account_type"": ""office""}, {""id"": ""463132556"", ""screen_name"": ""RepJaredPolis"", ""account_type"": ""office""}]",1975-05-12,M
C001121,Jason Crow,house,D,"[{""account_type"": ""office"", ""screen_name"": ""RepJasonCrow"", ""id"": ""1080191866509901826""}, {""account_type"": ""campaign"", ""screen_name"": ""JasonCrowCO"", ""id"": ""851477335052140544"", ""prev_names"": [""JasonCrowCO6""]}]",1979-03-15,M
N000191,Joe Neguse,house,D,"[{""account_type"": ""campaign"", ""screen_name"": ""JoeNeguse"", ""id"": ""1542372750""}, {""account_type"": ""office"", ""screen_name"": ""RepJoeNeguse"", ""id"": ""1078749802765139968""}]",1984-05-13,M
B001297,Ken Buck,house,R,"[{""id"": ""34959770"", ""screen_name"": ""BuckForColorado"", ""account_type"": ""campaign""}, {""id"": ""2862577383"", ""screen_name"": ""RepKenBuck"", ""account_type"": ""office""}]",1959-02-16,M
B000825,Lauren Boebert,house,R,"[{""screen_name"": ""RepBoebert"", ""id"": ""1342989756611907584"", ""account_type"": ""office""}, {""id"": ""1201670995435646976"", ""screen_name"": ""laurenboebert"", ""account_type"": ""campaign""}]",1986-12-15,F
C001077,Mike Coffman,house,R,"[{""id"": ""19407835"", ""screen_name"": ""RepMikeCoffman"", ""account_type"": ""office""}, {""id"": ""112781983"", ""screen_name"": ""coffmanforco"", ""account_type"": ""campaign""}]",1955-03-19,M
T000470,Scott Tipton,house,R,"[{""id"": ""18060563"", ""screen_name"": ""ScottRTipton"", ""account_type"": ""campaign""}, {""id"": ""242873057"", ""screen_name"": ""RepTipton"", ""account_type"": ""office""}]",1956-11-09,M
E000293,Elzabeth Esty,house,D,"[{""id"": ""325162736"", ""screen_name"": ""ElizabethEstyCT"", ""account_type"": ""campaign"", ""prev_names"": [""Elizabeth_Esty""]}, {""id"": ""1060984272"", ""screen_name"": ""RepEsty"", ""account_type"": ""office""}]",1959-08-25,F
H001081,Jahana Hayes,house,D,"[{""account_type"": ""office"", ""screen_name"": ""RepJahanaHayes"", ""id"": ""1082086081238102018""}, {""account_type"": ""campaign"", ""screen_name"": ""JahanaHayesCT"", ""id"": ""991721030631780354""}, {""account_type"": ""campaign"", ""screen_name"": ""JahanaHayes"", ""id"": ""4788702195""}]",1973-03-08,F
H001047,Jim Himes,house,D,"[{""id"": ""31611298"", ""screen_name"": ""jahimes"", ""account_type"": ""office""}]",1966-07-05,M
C001069,Joe Courtney,house,D,"[{""id"": ""85396297"", ""screen_name"": ""RepJoeCourtney"", ""account_type"": ""office""}, {""id"": ""183351637"", ""screen_name"": ""JoeCourtneyCT"", ""account_type"": ""campaign""}]",1953-04-06,M
L000557,John B. Larson,house,D,"[{""id"": ""50452197"", ""screen_name"": ""RepJohnLarson"", ""account_type"": ""office""}, {""id"": ""155585373"", ""screen_name"": ""JohnLarsonCT"", ""account_type"": ""campaign""}]",1948-07-22,M
D000216,Rosa DeLauro,house,D,"[{""id"": ""140519774"", ""screen_name"": ""rosadelauro"", ""account_type"": ""office""}, {""id"": ""893496121"", ""screen_name"": ""Rosa_DeLauro"", ""account_type"": ""campaign""}]",1943-03-02,F
N000147,Eleanor Holmes Norton,house,D,"[{""id"": ""23600262"", ""screen_name"": ""EleanorNorton"", ""account_type"": ""office""}, {""id"": ""338625847"", ""screen_name"": ""eleanor4dc"", ""account_type"": ""campaign""}]",1937-06-13,F
B001303,Lisa Blunt Rochester,house,D,"[{""id"": ""4049197462"", ""screen_name"": ""LisaBRochester"", ""account_type"": ""campaign""}, {""id"": ""817050219007328258"", ""screen_name"": ""RepLBR"", ""account_type"": ""office"", ""prev_names"": [""RepBRochester""]}]",1962-02-10,F
L000586,Al Lawson,house,D,"[{""id"": ""88291132"", ""screen_name"": ""AlLawsonJr"", ""account_type"": ""campaign""}, {""id"": ""818472418620608512"", ""screen_name"": ""RepAlLawsonJr"", ""account_type"": ""office""}]",1948-09-23,M
H000324,Alcee Hastings,house,D,"[{""id"": ""2348492935"", ""screen_name"": ""alcee4congress"", ""account_type"": ""campaign""}, {""id"": ""2433737761"", ""screen_name"": ""RepHastingsFL"", ""account_type"": ""office""}]",1936-09-05,M
P000599,Bill Posey,house,R,"[{""id"": ""25086658"", ""screen_name"": ""congbillposey"", ""account_type"": ""office""}, {""id"": ""2750346912"", ""screen_name"": ""PoseyCampaign"", ""account_type"": ""campaign""}]",1947-12-18,M
